,0
튀김)매콤핫닭다리N,"2,600"
도너츠)초코후로스트N,"1,100"
도너츠)초코케익글레이즈N,"1,200"
큐로)일리인텐소250g,"17,000"
일리ICE아메리카노XL,"2,200"
일리HOT아메리카노L,"2,500"
GET아이스아메리카노벤티,"1,300"
튀김)5마리통새우꼬치N,"1,800"
도너츠)스위트츄잉도넛N,"1,200"
도너츠)올드글레이즈N,"1,200"
즉석빵)브리오슈크로아상N,"1,500"
즉석빵)초코칩브리오슈N,"1,400"
즉석빵)딸기피치브리오슈N,"1,400"
즉석빵)팡오쇼콜라N,"1,400"
도너츠)바바리안필드N,"1,200"
도너츠)스트로베리필드N,"1,200"
튀김)바삭매콤순살꼬치N,"2,000"
튀김)바삭순살치킨꼬치N,"2,000"
튀김)치즈휴게소소시지바N,"2,400"
튀김)휴게소소시지바N,"2,400"
튀김)소떡소떡N,"1,800"
즉석빵)우유크림소보로N,"1,800"
즉석빵)땅콩크림샌드N,"1,600"
즉석빵)우유크림샌드N,"1,600"
즉석빵)딸기크림샌드N,"1,600"
튀김)얇은피닭날개N,"2,600"
튀김)얇은피닭다리N,"2,600"
튀김)얇은피넓적다리N,"2,600"
뉴get커피블렌드500g,"17,000"
튀김)가마로강정꼬치매콤N,"2,300"
그릴)쟌슨빌폴리쉬소시지N,"1,600"
피자)오이피클80gN,500
튀김)자이언트92핫도그N,"2,000"
즉석빵)솔티드쿠키N,"1,000"
즉석빵)민트초코쿠키N,"1,000"
즉석빵)맛있는슈크림빵N,"1,400"
즉석빵)맛있는단팥빵N,"1,400"
즉석빵)옥수수크림샌드N,"1,500"
튀김)갈릭디핑소스,500
튀김)양념치킨소스,500
튀김)으뜸치킨무,450
튀김)쫄깃매콤닭다리꼬치,"1,700"
튀김)쫄깃닭다리살꼬치,"1,700"
도너츠)코코넛초코링,"1,000"
튀김)통살닭다리꼬치,"2,200"
튀김)맵달시즈닝1회용,200
튀김)자이언트순살치킨,"8,900"
즉석빵)고구마빵,"2,000"
즉석빵)감자빵,"2,000"
튀김)7마리통새우꼬치,"2,000"
튀김)통살지파이,"2,300"
도너츠)스트로베리도넛80g,"1,100"
도너츠)라즈베리크런키80g,"1,100"
튀김)치즈볼1입,500
도너츠)글레이즈드도넛,"1,300"
즉석빵)커브크로와상,"1,200"
오뎅)고래사모듬꼬치어묵,"1,500"
튀김)버팔로봉봉스틱,"7,500"
GET헤이즐넛향시럽,400
튀김)참숯구이매콤닭꼬치,"2,200"
튀김)참숯구이닭꼬치,"2,200"
오뎅)미도사각꼬치어묵,"1,000"
도너츠)비스마르크도넛80g,"1,100"
즉석빵)브라우니쿠키,"1,000"
튀김)자이언트통다리,"4,000"
GET바닐라라떼파우더,500
튀김)매콤넓적다리,"2,500"
튀김)넓적다리,"2,500"
즉석빵)듬뿍연유소보로빵,"1,400"
튀김)곰돌이치킨바,"1,300"
튀김)후라이드치킨,"9,900"
GET아이스아메리카노XL,"1,200"
튀김)체다치즈핫찰도그바,"2,300"
도너츠)딸기링도넛70g,"1,100"
도너츠)백앙금베터도넛60g,"1,200"
도너츠)화이트초코링N,"1,100"
즉석빵)스위트크런치,800
즉석빵)치즈쿠키,500
즉석빵)쵸코칩쿠키,400
즉석빵)초코크로와상,"1,500"
즉석빵)시나몬롤,"1,300"
즉석빵)메이플피칸파이,"1,600"
즉석빵)찰호박꽈베기,"1,300"
즉석빵)팥앙금패스트리,"1,100"
즉석빵)고구마슈크림,"1,300"
튀김)핫찰도그바,"2,000"
튀김)닭다리,"2,500"
즉석빵)쫀득고구마찰빵,300
즉석빵)쫀득우유찰빵,400
GET아이스아메리카노L,"1,100"
GET핫아메리카노L,"1,500"
GET카페라떼파우더,500
즉석빵)촉촉한초코칩쿠키,700
즉석빵)애플크라운,"1,700"
도너츠)초코마카롱도넛70g,"1,100"
도너츠)딸기마카롱도넛70g,"1,100"
즉석빵)고구마파이,"1,500"
피자)콤비네이션피자,"7,200"
피자)치즈피자,"7,200"
피자)불고기피자,"7,200"
